SPY,
VOO,
VTI,
VWO,
QQQ,
AAPL,
MSFT,
TSLA,
AMZN,
META,
GOOGL,
NVDA,
AMD,
QS,
TSLA,
PLUG,
COST,
TGT,
CMG,
DG,
DLTR,
PYPL,
IONQ,
RGTI,
COST,
SPOT,
DASH,
NFLX,
DIS,
SBUX,
LLY,
TGT,
WM,
V
